,name,floor,height,year,area
254,大手町フィナンシャルシティ ノースタワー,31,154.0,2012.0,東京都千代田区
255,高輪ザ・レジデンス,47,153.9,2005.0,東京都港区
256,群馬県庁舎,33,153.8,1999.0,群馬県前橋市
257,虎ノ門タワーズ レジデンス,41,153.47,2006.0,東京都港区
258,Wコンフォートタワーズ WEST,45,153.4,2005.0,東京都江東区
259,アーク森ビル,37,153.34,1986.0,東京都港区
260,ステーションガーデンタワー,40,153.0,2008.0,東京都荒川区
261,さいたま新都心合同庁舎1号館,31,153.0,2000.0,埼玉県さいたま市
262,シティタワーズ豊洲 ザ・シンボル,44,153.0,2010.0,東京都江東区
263,パークタワーグランスカイ,44,152.9,2010.0,東京都品川区
264,グランドメゾン池下ザ・タワー,42,152.78,2013.0,愛知県名古屋市
265,ガーデンエアタワー,35,152.6,2003.0,東京都千代田区
266,横浜銀行本店ビル,28,152.5,1993.0,神奈川県横浜市
267,大阪淀屋橋アップルタワーレジデンス,46,152.5,2007.0,大阪府大阪市
268,阿波座ライズタワーズ フラッグ46(OMPタワー),46,152.42,2016.0,大阪府大阪市
269,横浜三井ビルディング,30,152.2,2012.0,神奈川県横浜市
270,D’グラフォート神戸三宮タワー,43,151.97,2005.0,兵庫県神戸市
271,三菱重工横浜ビル,33,151.9,1994.0,神奈川県横浜市
272,品川イーストワンタワー,32,151.6,2003.0,東京都港区
273,千葉セントラルタワー,43,151.5,2009.0,千葉県千葉市
274,高松シンボルタワー,30,151.3,2004.0,香川県高松市
275,芝公園ファーストビル(ラ・トゥール芝公園),35,151.15,2000.0,東京都港区
276,JR東日本本社ビル,28,151.0,1997.0,東京都渋谷区
277,小田急サザンタワー,36,151.0,1998.0,東京都渋谷区
278,ジークレフ新神戸タワー,42,150.85,2009.0,兵庫県神戸市
279,D’グラフォート大阪N.Y.タワー HIGOBASHI,46,150.7,2008.0,大阪府大阪市
280,(仮称)大阪市中央区谷町2丁目PRJ,42,150.6,2021.0,大阪府大阪市
281,エアライズタワー,42,150.46,2006.0,東京都豊島区
282,グランパークタワー,34,150.0,1996.0,東京都港区
283,丸の内永楽ビルディング,27,150.0,2012.0,東京都千代田区
284,三井住友銀行東館,29,150.0,2015.0,東京都千代田区
285,なんばスカイオ,31,150.0,2018.0,大阪府大阪市
286,(仮称)丸の内3-2計画,30,150.0,2018.0,東京都千代田区
287,ノースゲートビルディング,29,150.0,2011.0,大阪府大阪市
288,リーガロイヤルホテル広島,35,150.0,1994.0,広島県広島市
289,NTTドコモ東北ビル,21,150.0,2004.0,宮城県仙台市
290,二子玉川ライズ タワー&レジデンス タワーイースト,42,150.0,2010.0,東京都世田谷区
291,ナビューレ横浜タワーレジデンス,41,150.0,2007.0,神奈川県横浜市
292,大手町パークビルディング,29,149.95,2017.0,東京都千代田区
293,THE ROPPONGI TOKYO,39,149.92,2011.0,東京都港区
294,飯田橋グラン・ブルーム,30,149.88,2014.0,東京都千代田区
295,パシフィックセンチュリープレイス 丸の内,32,149.8,2001.0,東京都千代田区
296,みずほ丸の内タワー,29,149.7,2020.0,東京都千代田区
297,なんばパークス パークスタワー,31,149.65,2003.0,大阪府大阪市
298,住友不動産 飯田橋ファーストタワー,34,149.6,2010.0,東京都文京区
299,ミュージアムタワー京橋,23,149.56,2019.0,東京都中央区
300,新横浜プリンスホテル,42,149.35,1992.0,神奈川県横浜市
301,(仮称)ヨドバシ梅田タワー,35,149.34,2019.0,大阪府大阪市
302,パークコート千代田富士見 ザ タワー,40,149.14,2014.0,東京都千代田区
303,エクラスタワー武蔵小杉,39,149.0,2012.0,神奈川県川崎市
